employee_id,message,Generated on_notifications,strengths,areas_of_improvement,Generated on_reviews,text,Generated on
1,Your behavior in Q1 was below expectations.,16-09-2024 00:56,Missed deadlines and lacked initiative previously.,Must address accountability issues.,18-09-2024 01:21,Your behavior earlier this year was found unsatisfactory.,29-08-2024 04:42
2,Well done on your achievements last year.,31-10-2024 01:22,Completed major goals on time last year.,Documentation could be improved.,18-09-2024 02:32,We appreciate your contribution to last year's project.,29-08-2024 02:02
3,Please note the updated policy guidelines.,19-11-2024 02:14,Satisfactory technical ability.,Consider taking more initiative.,18-09-2024 08:03,This letter confirms your shift change request.,29-08-2024 08:35
4,Your behavior in Q1 was below expectations.,01-12-2024 06:00,Missed deadlines and lacked initiative previously.,Must address accountability issues.,18-09-2024 04:42,Your behavior earlier this year was found unsatisfactory.,29-08-2024 07:46
5,Your behavior in Q1 was below expectations.,16-09-2024 06:33,Missed deadlines and lacked initiative previously.,Must address accountability issues.,18-09-2024 08:08,Your behavior earlier this year was found unsatisfactory.,29-08-2024 06:53
6,Congratulations! Excellent performance in Q2 delivery.,28-05-2025 04:56,Shows excellent leadership and collaboration.,Could mentor junior team members.,10-06-2025 05:25,This letter confirms your salary increment effective this month.,18-06-2025 07:10
7,"Not bad, but improvements are needed.",19-09-2024 03:00,"Displays effort, but results are inconsistent.",Communication needs slight improvement.,18-09-2024 01:45,This is to inform you of policy updates relevant to your role.,29-08-2024 00:54
8,Congratulations! Excellent performance in Q2 delivery.,04-06-2025 05:00,Shows excellent leadership and collaboration.,Could mentor junior team members.,10-06-2025 01:43,This letter confirms your salary increment effective this month.,18-06-2025 00:35
9,Your behavior in Q1 was below expectations.,25-06-2024 00:32,Missed deadlines and lacked initiative previously.,Must address accountability issues.,18-09-2024 03:38,Your behavior earlier this year was found unsatisfactory.,29-08-2024 09:19
10,Well done on your achievements last year.,08-07-2024 02:56,Completed major goals on time last year.,Documentation could be improved.,18-09-2024 08:19,We appreciate your contribution to last year's project.,29-08-2024 05:28
11,Please note the updated policy guidelines.,16-09-2024 01:58,Satisfactory technical ability.,Consider taking more initiative.,18-09-2024 06:38,This letter confirms your shift change request.,29-08-2024 07:49
12,Your behavior in Q1 was below expectations.,06-10-2024 08:33,Missed deadlines and lacked initiative previously.,Must address accountability issues.,18-09-2024 06:08,Your behavior earlier this year was found unsatisfactory.,29-08-2024 06:13
13,Please note the updated policy guidelines.,25-06-2024 06:45,Satisfactory technical ability.,Consider taking more initiative.,18-09-2024 01:24,This letter confirms your shift change request.,29-08-2024 01:02
14,"Not bad, but improvements are needed.",09-08-2024 02:54,"Displays effort, but results are inconsistent.",Communication needs slight improvement.,18-09-2024 02:01,This is to inform you of policy updates relevant to your role.,29-08-2024 03:55
15,Well done on your achievements last year.,03-08-2024 04:59,Completed major goals on time last year.,Documentation could be improved.,18-09-2024 04:42,We appreciate your contribution to last year's project.,29-08-2024 04:47
16,Please note the updated policy guidelines.,29-11-2024 03:06,Satisfactory technical ability.,Consider taking more initiative.,18-09-2024 06:08,This letter confirms your shift change request.,29-08-2024 07:31
17,Well done on your achievements last year.,07-10-2024 07:05,Completed major goals on time last year.,Documentation could be improved.,18-09-2024 05:38,We appreciate your contribution to last year's project.,29-08-2024 01:01
18,Congratulations! Excellent performance in Q2 delivery.,20-06-2025 05:04,Shows excellent leadership and collaboration.,Could mentor junior team members.,10-06-2025 08:28,This letter confirms your salary increment effective this month.,18-06-2025 05:18
19,Please note the updated policy guidelines.,28-11-2024 02:14,Satisfactory technical ability.,Consider taking more initiative.,18-09-2024 06:07,This letter confirms your shift change request.,29-08-2024 04:39
20,"Not bad, but improvements are needed.",16-07-2024 02:32,"Displays effort, but results are inconsistent.",Communication needs slight improvement.,18-09-2024 01:53,This is to inform you of policy updates relevant to your role.,29-08-2024 02:56
21,Congratulations! Excellent performance in Q2 delivery.,20-06-2025 09:19,Shows excellent leadership and collaboration.,Could mentor junior team members.,10-06-2025 08:42,This letter confirms your salary increment effective this month.,18-06-2025 01:49
22,Congratulations! Excellent performance in Q2 delivery.,18-06-2025 00:54,Shows excellent leadership and collaboration.,Could mentor junior team members.,10-06-2025 05:30,This letter confirms your salary increment effective this month.,18-06-2025 05:50
23,Congratulations! Excellent performance in Q2 delivery.,17-06-2025 05:14,Shows excellent leadership and collaboration.,Could mentor junior team members.,10-06-2025 04:19,This letter confirms your salary increment effective this month.,18-06-2025 08:18
24,This is a final warning regarding policy violations.,16-06-2025 00:52,Needs immediate improvement in punctuality.,Improve attendance and team communication.,10-06-2025 08:38,This letter serves as a disciplinary warning effective immediately.,18-06-2025 03:57
