rating,net_payable,work_hours,leave_days,risk_score,promotion_recommendations,predicted_growth_years,mood_index
4,23022,488,2,0.66,0,3,0.79
3,44832,508,3,0.36,0,5,0.87
3,50051,499,4,0.64,0,4,0.65
3,56429,500,2,0.63,1,2,0.76
2,42995,501,4,0.41,0,1,0.43
1,31329,481,3,0.32,1,5,0.74
1,24192,495,3,0.59,1,1,0.54
5,36580,499,3,0.76,1,5,0.92
2,73628,497,3,0.28,0,4,0.7
2,29451,493,4,0.26,1,4,0.73
2,49117,483,3,0.45,1,2,0.68
3,29351,489,2,0.4,0,2,0.62
4,42754,499,4,0.65,1,2,0.85
3,35870,483,4,0.71,0,4,0.56
2,39781,508,2,0.32,0,5,0.65
1,72945,484,2,0.77,0,5,0.63
5,59740,502,4,0.29,0,5,0.91
1,72775,482,2,0.79,1,3,0.71
2,23505,492,2,0.65,1,2,0.59
2,45338,503,4,0.31,1,2,0.55
1,28643,501,3,0.69,1,2,0.51
5,31459,483,3,0.34,0,3,0.88
5,21077,493,4,0.32,0,2,0.73
3,64205,500,2,0.79,0,1,0.6
3,74445,490,2,0.29,1,3,0.94
2,38748,496,2,0.37,0,1,0.54
4,60599,501,4,0.57,1,1,0.77
4,67719,496,4,0.65,0,2,0.6
2,77386,508,4,0.73,1,4,0.65
4,24066,508,3,0.58,1,2,0.82
3,24748,508,2,0.3,1,2,0.62
3,47817,481,4,0.52,0,2,0.51
5,49605,510,4,0.7,1,5,0.89
5,36498,481,4,0.78,1,3,1.0
2,50801,508,3,0.26,0,1,0.57
2,24145,506,4,0.6,1,3,0.49
4,53286,501,3,0.43,0,5,0.91
1,44544,483,2,0.65,1,5,0.65
1,41140,490,4,0.67,0,5,0.41
1,33976,503,3,0.3,1,3,0.54
3,50862,491,4,0.44,0,4,0.74
3,33909,502,4,0.29,1,1,0.68
2,70635,484,2,0.63,0,1,0.72
1,56531,488,2,0.73,1,5,0.75
3,71939,483,4,0.6,0,3,0.74
3,36097,497,4,0.43,0,1,0.47
3,25123,497,3,0.69,0,2,0.47
3,21298,484,2,0.63,0,4,0.64
1,31080,485,2,0.46,0,5,0.51
2,51224,506,3,0.75,1,3,0.57
5,31268,509,2,0.32,0,1,0.78
4,63844,485,3,0.71,0,5,0.89
2,61496,494,3,0.39,0,5,0.79
2,48024,505,4,0.36,1,2,0.55
1,72482,503,2,0.44,1,4,0.71
4,35063,484,2,0.33,0,2,0.79
2,28088,491,4,0.44,0,2,0.34
5,42284,491,4,0.69,0,1,0.65
3,27703,491,2,0.71,1,5,0.94
2,24655,496,4,0.51,0,5,0.63
1,55373,485,2,0.45,1,2,0.78
1,33095,494,4,0.4,0,5,0.39
1,49042,510,2,0.73,1,4,0.47
2,78038,481,2,0.78,0,1,0.64
2,21233,490,4,0.28,1,3,0.48
5,57037,489,2,0.59,0,4,0.96
2,39271,498,4,0.64,1,5,0.71
1,71160,504,4,0.55,1,1,0.63
1,27873,488,2,0.27,1,3,0.67
3,30131,495,2,0.39,1,1,0.62
5,32274,492,4,0.74,1,2,0.98
4,65599,499,2,0.79,1,3,0.98
2,78820,503,2,0.55,1,3,0.71
3,22704,489,3,0.38,0,1,0.52
1,30149,485,3,0.35,0,3,0.42
3,35002,491,3,0.47,0,5,0.77
4,43100,484,3,0.7,1,2,0.93
3,55572,485,4,0.29,1,5,0.96
5,20856,496,4,0.45,1,4,0.9
2,78945,497,2,0.34,0,3,0.76
2,72700,507,3,0.36,0,1,0.58
5,72668,501,4,0.44,0,2,0.97
3,55919,484,2,0.42,1,1,0.94
3,63579,483,3,0.52,1,3,0.93
3,58906,490,2,0.67,1,2,0.72
4,59580,510,3,0.78,0,4,0.84
4,25841,505,4,0.37,0,2,0.64
3,67960,493,3,0.41,0,4,0.88
